innings,batting_team,bowling_team,overs_completed,wickets_fallen,current_score,current_run_rate,remaining_overs,wickets_in_hand,target,runs_required,balls_remaining,required_run_rate,pressure_index,final_score,winner
1,Chennai Super Kings,Rajasthan Royals,7.3,2,37,5.16,12.7,8,0,0,76,0.0,0.0,91,Rajasthan Royals
2,Rajasthan Royals,Chennai Super Kings,14.4,4,91,10.19,5.6,6,92,1,33,0.18,0.0177,144,Rajasthan Royals
1,Punjab Kings,Royal Challengers Bangalore,5.1,8,29,5.69,14.9,2,0,0,89,0.0,0.0,83,Royal Challengers Bangalore
2,Royal Challengers Bangalore,Punjab Kings,10.3,2,73,7.15,9.7,8,84,11,58,1.13,0.158,146,Royal Challengers Bangalore
1,Chennai Super Kings,Kolkata Knight Riders,5.9,3,54,9.24,14.1,7,0,0,84,0.0,0.0,152,Chennai Super Kings
2,Kolkata Knight Riders,Chennai Super Kings,8.3,6,68,8.28,11.7,4,153,85,70,7.26,0.8768,149,Chennai Super Kings
1,Sunrisers Hyderabad,Punjab Kings,12.5,9,82,6.61,7.5,1,0,0,45,0.0,0.0,118,Punjab Kings
2,Punjab Kings,Sunrisers Hyderabad,15.5,7,112,7.27,4.5,3,119,7,27,1.56,0.2146,136,Punjab Kings
1,Kolkata Knight Riders,Punjab Kings,10.2,8,55,5.46,9.8,2,0,0,58,0.0,0.0,89,Punjab Kings
2,Punjab Kings,Kolkata Knight Riders,5.2,2,44,8.59,14.8,8,90,46,88,3.11,0.362,169,Punjab Kings
1,Kolkata Knight Riders,Punjab Kings,18.3,8,137,7.51,1.7,2,0,0,10,0.0,0.0,145,Punjab Kings
2,Punjab Kings,Kolkata Knight Riders,9.7,2,80,8.25,10.3,8,146,66,61,6.41,0.777,153,Punjab Kings
1,Kolkata Knight Riders,Sunrisers Hyderabad,16.0,9,86,5.42,4.0,1,0,0,24,0.0,0.0,100,Sunrisers Hyderabad
2,Sunrisers Hyderabad,Kolkata Knight Riders,7.9,6,57,7.23,12.1,4,101,44,72,3.64,0.5035,125,Sunrisers Hyderabad
1,Chennai Super Kings,Mumbai Indians,8.3,6,52,6.38,11.7,4,0,0,70,0.0,0.0,115,Mumbai Indians
2,Mumbai Indians,Chennai Super Kings,16.7,3,115,10.34,3.3,7,116,1,19,0.3,0.029,145,Mumbai Indians
1,Rajasthan Royals,Delhi Capitals,8.9,8,69,7.83,11.1,2,0,0,66,0.0,0.0,123,Delhi Capitals
2,Delhi Capitals,Rajasthan Royals,6.7,7,66,9.92,13.3,3,124,58,79,4.36,0.4395,156,Delhi Capitals
1,Royal Challengers Bangalore,Rajasthan Royals,19.0,6,131,6.94,1.0,4,0,0,6,0.0,0.0,136,Royal Challengers Bangalore
2,Rajasthan Royals,Royal Challengers Bangalore,13.8,1,97,7.05,6.2,9,137,40,37,6.45,0.9149,133,Royal Challengers Bangalore
1,Delhi Capitals,Rajasthan Royals,12.1,5,78,6.45,7.9,5,0,0,47,0.0,0.0,116,Rajasthan Royals
2,Rajasthan Royals,Delhi Capitals,15.6,7,112,7.21,4.4,3,117,5,26,1.14,0.1581,138,Rajasthan Royals
1,Delhi Capitals,Chennai Super Kings,15.1,2,117,7.75,4.9,8,0,0,29,0.0,0.0,153,Delhi Capitals
2,Chennai Super Kings,Delhi Capitals,7.5,0,55,7.41,12.5,10,154,99,75,7.92,1.0688,148,Delhi Capitals
1,Rajasthan Royals,Chennai Super Kings,18.4,9,110,6.02,1.6,1,0,0,9,0.0,0.0,116,Chennai Super Kings
2,Chennai Super Kings,Rajasthan Royals,12.7,1,116,11.02,7.3,9,117,1,43,0.14,0.0127,204,Chennai Super Kings
1,Chennai Super Kings,Kolkata Knight Riders,15.5,2,152,9.82,4.5,8,0,0,27,0.0,0.0,197,Kolkata Knight Riders
2,Kolkata Knight Riders,Chennai Super Kings,18.6,3,185,9.96,1.4,7,198,13,8,9.29,0.9327,198,Kolkata Knight Riders
1,Delhi Capitals,Chennai Super Kings,7.3,1,57,7.85,12.7,9,0,0,76,0.0,0.0,143,Delhi Capitals
2,Chennai Super Kings,Delhi Capitals,5.3,4,29,5.59,14.7,6,144,115,88,7.82,1.3989,95,Delhi Capitals
1,Rajasthan Royals,Chennai Super Kings,6.4,2,55,8.6,13.6,8,0,0,81,0.0,0.0,178,Rajasthan Royals
2,Chennai Super Kings,Rajasthan Royals,12.1,7,90,7.5,7.9,3,179,89,47,11.27,1.5027,136,Rajasthan Royals
1,Royal Challengers Bangalore,Chennai Super Kings,9.1,2,77,8.57,10.9,8,0,0,65,0.0,0.0,173,Chennai Super Kings
2,Chennai Super Kings,Royal Challengers Bangalore,15.8,4,158,10.02,4.2,6,174,16,25,3.81,0.3802,193,Chennai Super Kings
1,Chennai Super Kings,Punjab Kings,10.6,6,57,5.43,9.4,4,0,0,56,0.0,0.0,95,Punjab Kings
2,Punjab Kings,Chennai Super Kings,17.2,2,95,8.1,2.8,8,96,1,16,0.36,0.0444,113,Punjab Kings
1,Mumbai Indians,Delhi Capitals,17.7,0,174,9.87,2.3,10,0,0,13,0.0,0.0,197,Mumbai Indians
2,Delhi Capitals,Mumbai Indians,9.3,9,79,8.56,10.7,1,198,119,64,11.12,1.2991,144,Mumbai Indians
1,Royal Challengers Bangalore,Rajasthan Royals,14.4,2,96,6.72,5.6,8,0,0,33,0.0,0.0,131,Royal Challengers Bangalore
